GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2018110410,2018-11-04,3,11,18,GB,NE,0,0,85,,1,,0,"2-M.CROSBY EXTRA POINT IS GOOD, CENTER-43-H.BRADLEY, HOLDER-6-J.SCOTT.",0,,,2018,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2018110410,2018-11-04,3,11,24,GB,NE,2,15,85,,1,,0,"(11:24) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 80-J.GRAHAM FOR 15 YARDS, TOUCHDOWN.",0,,,2018,15,SHOTGUN,PASS,0,1,0,1,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2018110410,2018-11-04,3,11,31,GB,NE,1,15,85,,0,,0,"(11:31) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE SHORT LEFT TO 33-A.JONES.",0,,,2018,0,SHOTGUN,PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2018110410,2018-11-04,3,11,58,GB,NE,1,5,95,,0,,0,"(11:58) (NO HUDDLE) 33-A.JONES LEFT TACKLE TO NE 2 FOR 3 YARDS (93-L.GUY; 90-M.BROWN). PENALTY ON GB-69-D.BAKHTIARI, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NE 5 - NO PLAY.",0,,,2018,3,"NO HUDDLE",RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,"LEFT TACKLE",5,OPP,1,GB,1,"OFFENSIVE HOLDING",10
2018110410,2018-11-04,3,12,45,GB,NE,2,1,88,,1,,0,"(12:45) (SHOTGUN) 33-A.JONES LEFT GUARD TO NE 5 FOR 7 YARDS (32-D.MCCOURTY; 93-L.GUY).",0,,,2018,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",12,OPP,0,,0,,0
2018110410,2018-11-04,3,13,27,GB,NE,1,10,79,,0,,0,"(13:27) (SHOTGUN) 33-A.JONES UP THE MIDDLE TO NE 12 FOR 9 YARDS (53-K.VAN NOY; 32-D.MCCOURTY).",0,,,2018,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,21,OPP,0,,0,,0
2018110410,2018-11-04,2,1,57,NE,GB,0,0,85,,1,,0,"3-S.GOSTKOWSKI EXTRA POINT IS GOOD, CENTER-49-J.CARDONA, HOLDER-6-R.ALLEN.",0,,,2018,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2018110410,2018-11-04,2,2,31,NE,GB,1,10,87,,0,,0,"(2:31) 84-C.PATTERSON UP THE MIDDLE TO GB 5 FOR 8 YARDS (29-K.BRICE; 44-A.MORRISON).",0,,,2018,8,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,13,OPP,0,,0,,0
2018110410,2018-11-04,2,3,6,NE,GB,1,10,70,,1,,0,"(3:06) 84-C.PATTERSON LEFT TACKLE TO GB 13 FOR 17 YARDS (38-T.WILLIAMS).",0,,,2018,17,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",30,OPP,0,,0,,0
2018110410,2018-11-04,2,4,49,GB,NE,0,0,85,,1,,0,"2-M.CROSBY EXTRA POINT IS GOOD, CENTER-43-H.BRADLEY, HOLDER-6-J.SCOTT.",0,,,2018,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2018110410,2018-11-04,2,4,54,GB,NE,3,2,98,,1,,0,"(4:54) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 17-D.ADAMS FOR 2 YARDS, TOUCHDOWN.",0,,,2018,2,SHOTGUN,PASS,0,1,0,1,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,2,OPP,0,,0,,0
2018110410,2018-11-04,2,4,58,GB,NE,2,2,98,,0,,0,"(4:58) 12-A.RODGERS PASS INCOMPLETE SHORT RIGHT. THROWN AWAY",0,,,2018,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,2,OPP,0,,0,,0
2018110410,2018-11-04,2,5,6,GB,NE,1,2,98,,0,,0,"(5:06) 12-A.RODGERS PASS INCOMPLETE SHORT LEFT TO 80-J.GRAHAM (32-D.MCCOURTY).",0,,,2018,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,2,OPP,0,,0,,0
2018110410,2018-11-04,2,5,44,GB,NE,2,8,88,,1,,0,"(5:44) (SHOTGUN) 33-A.JONES LEFT GUARD TO NE 2 FOR 10 YARDS (32-D.MCCOURTY).",0,,,2018,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",12,OPP,0,,0,,0
2018110410,2018-11-04,2,6,24,GB,NE,1,10,86,,0,,0,"(6:24) (SHOTGUN) 12-A.RODGERS SCRAMBLES RIGHT END RAN OB AT NE 12 FOR 2 YARDS.",0,,,2018,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,0,,14,OPP,0,,0,,0
2018110410,2018-11-04,2,7,6,GB,NE,2,3,76,,1,,0,"(7:06) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 17-D.ADAMS PUSHED OB AT NE 14 FOR 10 YARDS (54-D.HIGHTOWER).",0,,,2018,10,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,24,OPP,0,,0,,0
