"Rank","Player","Team","Position","Points","Games","Avg"
"368","Roc Thomas","MIN","RB","5.1","5","1.0"
"369","Marcell Ateman","OAK","WR","5.0","1","5.0"
"370","Trey Quinn","WAS","WR","4.9","2","2.5"
"371","Mike Boone","MIN","RB","4.8","6","0.8"
"371","DaeSean Hamilton","DEN","WR","4.8","6","0.8"
"372","Shelton Gibson","PHI","WR","4.8","4","1.2"
"373","Cody Core","CIN","WR","4.7","4","1.2"
"373","Xavier Grimble","PIT","TE","4.7","5","0.9"
"373","Neal Sterling","NYJ","TE","4.7","4","1.2"
"374","Dwayne Washington","NO","RB","4.6","4","1.2"
"375","Isaiah McKenzie","BUF","WR","4.6","2","2.3"
"375","Rico Gathers","DAL","TE","4.6","6","0.8"
"376","Dwayne Harris","OAK","WR","4.3","9","0.5"
"377","Blake Jarwin","DAL","TE","4.2","7","0.6"
"378","Blake Bell","JAC","TE","4.0","3","1.3"
"379","Chad Beebe","MIN","WR","3.9","2","2.0"
"380","Derek Carrier","OAK","TE","3.8","8","0.5"
"381","Jordan Franks","CIN","TE","3.7","2","1.9"
"382","Tyler Kroft","CIN","TE","3.6","5","0.7"
"383","Roosevelt Nix","PIT","RB","3.6","7","0.5"
"383","David Morgan","MIN","TE","3.6","5","0.7"
"384","Marcedes Lewis","GB","TE","3.5","3","1.2"
"385","Tyler Ervin","BAL","RB","3.5","9","0.4"
"386","Leonte Carroo","MIA","WR","3.4","1","3.4"
"387","Shaun Wilson","TB","RB","3.4","5","0.7"
"388","Dalton Schultz","DAL","TE","3.3","2","1.7"
"388","Eric Saubert","ATL","TE","3.3","5","0.7"
"389","Darren Sproles","PHI","RB","3.2","1","3.2"
"389","Mike Gillislee","FA","RB","3.2","4","0.8"
"390","Jeremy Hill","NE","RB","3.1","1","3.1"
"390","Kalen Ballage","MIA","RB","3.1","6","0.5"
"391","Travis Benjamin","LAC","WR","3.1","6","0.5"
"391","Scott Simonson","NYG","TE","3.1","6","0.5"
"392","Samaje Perine","WAS","RB","3.0","3","1.0"
"393","Lee Smith","OAK","TE","2.9","4","0.7"
"394","Antony Auclair","TB","TE","2.8","4","0.7"
"394","Vyncint Smith","HOU","WR","2.8","2","1.4"
"395","Dwayne Allen","NE","TE","2.7","3","0.9"
"395","Jawill Davis","NYG","WR","2.7","3","0.9"
"395","Andre Roberts","NYJ","WR","2.7","10","0.3"
"396","Justin Jackson","LAC","RB","2.6","3","0.9"
"396","J.J. Nelson","ARI","WR","2.6","8","0.3"
"397","Charone Peake","NYJ","WR","2.5","5","0.5"
"398","Ben Braunecker","CHI","TE","2.4","6","0.4"
"398","Patrick DiMarco","BUF","RB","2.4","4","0.6"
"399","Tyrone Swoopes","FA","TE","2.3","1","2.3"
"399","Brandon Zylstra","MIN","WR","2.3","3","0.8"
"400","Keith Smith","OAK","RB","2.2","6","0.4"
"401","DeAndre Carter","HOU","WR","2.1","7","0.3"
"401","Justin Hunter","PIT","WR","2.1","3","0.7"
"402","De'Lance Turner","BAL","RB","2.1","2","1.1"
"403","Derrick Coleman","ARI","RB","2.0","9","0.2"
"403","Corey Coleman","NYG","WR","2.0","2","1.0"
"403","Adam Shaheen","CHI","TE","2.0","1","2.0"
"404","Damien Williams","KC","RB","1.9","8","0.2"
"404","C.J. Prosise","SEA","RB","1.9","2","1.0"
"405","MyCole Pruitt","TEN","TE","1.9","1","1.9"
"406","Josh McCown","NYJ","QB","1.8","1","1.8"
"407","Elijhaa Penny","NYG","RB","1.8","5","0.4"
"407","Brian Quick","FA","WR","1.8","2","0.9"
"407","Terrance Williams","DAL","WR","1.8","2","0.9"
"408","Jonathan Stewart","NYG","RB","1.7","3","0.6"
"408","Benny Cunningham","CHI","RB","1.7","7","0.2"
"409","Nick Williams","LAR","WR","1.7","4","0.4"
"409","Khadarel Hodge","LAR","WR","1.7","4","0.4"
"410","David Fluellen","TEN","RB","1.6","4","0.4"
"411","Brandon Wilds","ARI","RB","1.5","3","0.5"
"411","Tommy Bohanon","JAC","RB","1.5","5","0.3"
"412","Tim White","BAL","WR","1.4","3","0.5"
"412","T.J. Logan","ARI","RB","1.4","3","0.5"
"412","Jamaal Charles","FA","RB","1.4","2","0.7"
"412","Orson Charles","CLE","TE","1.4","7","0.2"
"413","Ryan Izzo","MIN","TE","1.3","2","0.7"
"414","Zach Zenner","DET","RB","1.2","1","1.2"
"414","Sammie Coates","HOU","WR","1.2","2","0.6"
"414","Josh Malone","CIN","WR","1.2","2","0.6"
"415","Hakeem Valles","FA","TE","1.1","2","0.6"
"415","Rishard Matthews","NYJ","WR","1.1","4","0.3"
"416","Dontrell Hilliard","CLE","RB","1.0","5","0.2"
"416","Justin Hardee","NO","WR","1.0","8","0.1"
"416","J'Mon Moore","GB","WR","1.0","3","0.3"
"416","Victor Bolden Jr.","SF","WR","1.0","1","1.0"
"417","Tre Madden","SEA","RB","1.0","6","0.2"
"418","Ameer Abdullah","MIN","RB","0.9","4","0.2"
"419","Christine Michael","FA","RB","0.9","1","0.9"
"419","Cam Phillips","BUF","WR","0.9","2","0.5"
"419","Dion Sims","CHI","TE","0.9","3","0.3"
"419","Russell Gage","ATL","WR","0.9","4","0.2"
"419","Darrius Heyward-Bey","PIT","WR","0.9","5","0.2"
"420","Rashad Greene","JAC","WR","0.8","3","0.3"
"421","Damiere Byrd","CAR","WR","0.8","6","0.1"
"421","Ross Dwelley","SF","TE","0.8","1","0.8"
"421","Ray-Ray McCloud","BUF","WR","0.8","6","0.1"
"422","Rob Kelley","WAS","RB","0.8","2","0.4"
"423","Jeremy Kerley","FA","WR","0.7","1","0.7"
"423","Marcus Kemp","KC","WR","0.7","4","0.2"
"423","Ricky Ortiz","ATL","RB","0.7","2","0.4"
"424","Alan Cross","TB","TE","0.6","4","0.2"
"424","Michael Burton","CHI","RB","0.6","1","0.6"
"424","Trent Sherfield","ARI","WR","0.6","3","0.2"
"424","Brandon Powell","DET","WR","0.6","3","0.2"
"425","Byron Marshall","WAS","RB","0.5","1","0.5"
"425","Khari Lee","FA","TE","0.5","1","0.5"
"425","Justin Watson","TB","WR","0.5","3","0.2"
"425","Auden Tate","CIN","WR","0.5","2","0.3"
"426","Joshua Dobbs","PIT","QB","0.4","4","0.1"
"426","Taquan Mizzell","CHI","RB","0.4","3","0.1"
"426","Jeremy McNichols","DEN","RB","0.4","1","0.4"
"427","Derek Watt","LAC","RB","0.3","4","0.1"
"428","AJ McCarron","OAK","QB","0.3","1","0.3"
"428","Jamize Olawale","DAL","RB","0.3","7","0.0"
"428","Taylor Heinicke","CAR","QB","0.3","2","0.2"
"429","David Williams","JAC","RB","0.2","1","0.2"
"429","Chris Manhertz","CAR","TE","0.2","3","0.1"
"430","Sean Mannion","LAR","QB","0.1","1","0.1"
"430","Cameron Artis-Payne","CAR","RB","0.1","1","0.1"
"430","Jonathan Williams","IND","RB","0.1","3","0.0"
"430","Matt Schaub","ATL","QB","0.1","2","0.1"
"431","Mike Wallace","PHI","WR","0.0","1","0.0"
"431","Noah Brown","DAL","WR","0.0","2","0.0"
"431","JoJo Natson","LAR","WR","0.0","8","0.0"
"431","Stacy Coley","FA","WR","0.0","2","0.0"
"431","Brandon Bolden","MIA","RB","0.0","4","0.0"
"431","River Cracraft","DEN","WR","0.0","2","0.0"
"431","Tra Carson","GB","RB","0.0","2","0.0"
"431","Tommylee Lewis","NO","WR","0.0","2","0.0"
"431","Deante Burton","HOU","WR","0.0","1","0.0"
"431","Andy Jones","DET","WR","0.0","1","0.0"
