Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Ito Smith (11660028),Ito Smith,11660028,RB/FLEX,3400,ATL@NO 11/22/2018 08:20PM ET,ATL,7.55
WR,TJ Jones (11660098),TJ Jones,11660098,WR/FLEX,3300,CHI@DET 11/22/2018 12:30PM ET,DET,1.48
RB,Kapri Bibbs (11660030),Kapri Bibbs,11660030,RB/FLEX,3300,WAS@DAL 11/22/2018 04:30PM ET,WAS,5.59
WR,Brandon Marshall (11660096),Brandon Marshall,11660096,WR/FLEX,3300,ATL@NO 11/22/2018 08:20PM ET,NO,4.37
WR,Bruce Ellington (11660100),Bruce Ellington,11660100,WR/FLEX,3200,CHI@DET 11/22/2018 12:30PM ET,DET,8.6
WR,Allen Hurns (11660104),Allen Hurns,11660104,WR/FLEX,3200,WAS@DAL 11/22/2018 04:30PM ET,DAL,5.01
DST,Cowboys  (11660180),Cowboys ,11660180,DST,3200,WAS@DAL 11/22/2018 04:30PM ET,DAL,6
WR,Keith Kirkwood (11660102),Keith Kirkwood,11660102,WR/FLEX,3200,ATL@NO 11/22/2018 08:20PM ET,NO,6.4
TE,Benjamin Watson (11660144),Benjamin Watson,11660144,TE/FLEX,3200,ATL@NO 11/22/2018 08:20PM ET,NO,6.83
RB,Benny Cunningham (11660032),Benny Cunningham,11660032,RB/FLEX,3100,CHI@DET 11/22/2018 12:30PM ET,CHI,0.27
RB,Michael Burton (11660034),Michael Burton,11660034,RB/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,CHI,0.32
RB,Taquan Mizzell (11660036),Taquan Mizzell,11660036,RB/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,CHI,0.47
RB,Zach Zenner (11660038),Zach Zenner,11660038,RB/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,DET,0.6
RB,Nick Bellore (11660040),Nick Bellore,11660040,RB/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,DET,0.05
WR,Andy Jones (11660106),Andy Jones,11660106,WR/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,DET,0
WR,Kevin White (11660108),Kevin White,11660108,WR/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,CHI,1.43
WR,Javon Wims (11660110),Javon Wims,11660110,WR/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,CHI,0
WR,Josh Bellamy (11660112),Josh Bellamy,11660112,WR/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,CHI,2.46
WR,Brandon Powell (11660114),Brandon Powell,11660114,WR/FLEX,3000,CHI@DET 11/22/2018 12:30PM ET,DET,0.53
RB,Jamize Olawale (11660042),Jamize Olawale,11660042,RB/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,DAL,0.13
RB,Samaje Perine (11660044),Samaje Perine,11660044,RB/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,WAS,1.5
RB,Byron Marshall (11660046),Byron Marshall,11660046,RB/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,WAS,0.5
RB,Rob Kelley (11660048),Rob Kelley,11660048,RB/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,WAS,0.4
WR,Lance Lenoir (11660116),Lance Lenoir,11660116,WR/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,DAL,0
WR,Tavon Austin (11660118),Tavon Austin,11660118,WR/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,DAL,6.25
WR,Noah Brown (11660120),Noah Brown,11660120,WR/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,DAL,0
WR,Terrance Williams (11660122),Terrance Williams,11660122,WR/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,DAL,1.27
WR,Jehu Chesson (11660124),Jehu Chesson,11660124,WR/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,WAS,0
WR,Michael Floyd (11660126),Michael Floyd,11660126,WR/FLEX,3000,WAS@DAL 11/22/2018 04:30PM ET,WAS,1.33
RB,Ricky Ortiz (11660050),Ricky Ortiz,11660050,RB/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,ATL,0.34
RB,Devonta Freeman (11660052),Devonta Freeman,11660052,RB/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,ATL,7.05
RB,Brian Hill (11660054),Brian Hill,11660054,RB/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,ATL,0
RB,Shane Vereen (11660056),Shane Vereen,11660056,RB/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,NO,0
RB,Zach Line (11660058),Zach Line,11660058,RB/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,NO,1.25
RB,Dwayne Washington (11660060),Dwayne Washington,11660060,RB/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,NO,0.66
WR,Russell Gage (11660128),Russell Gage,11660128,WR/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,ATL,0.21
WR,Marvin Hall (11660130),Marvin Hall,11660130,WR/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,ATL,2.92
WR,Justin Hardy (11660132),Justin Hardy,11660132,WR/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,ATL,1.38
WR,Ted Ginn Jr. (11660134),Ted Ginn Jr.,11660134,WR/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,NO,10.28
WR,Austin Carr (11660136),Austin Carr,11660136,WR/FLEX,3000,ATL@NO 11/22/2018 08:20PM ET,NO,2.25
DST,Bears  (11660181),Bears ,11660181,DST,2900,CHI@DET 11/22/2018 12:30PM ET,CHI,12.6
TE,Geoff Swaim (11660146),Geoff Swaim,11660146,TE/FLEX,2700,WAS@DAL 11/22/2018 04:30PM ET,DAL,6.24
DST,Redskins  (11660182),Redskins ,11660182,DST,2600,WAS@DAL 11/22/2018 04:30PM ET,WAS,9
TE,Patrick Scales (11660148),Patrick Scales,11660148,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,CHI,0
TE,Adam Shaheen (11660150),Adam Shaheen,11660150,TE/FLEX,2500,CHI@DET 11/22/2018 12:30PM ET,CHI,2
